2023-07-21 22:04:54,052 - INFO - CPU usage: 25.0% | Memory usage: 76.5% | Disk usage: 17.9% | Network usage: 4.44% Mbps
2023-07-21 22:05:54,058 - INFO - CPU usage: 42.0% | Memory usage: 75.2% | Disk usage: 17.9% | Network usage: 17.44% Mbps
2023-07-21 22:06:54,062 - INFO - CPU usage: 33.4% | Memory usage: 77.5% | Disk usage: 17.9% | Network usage: 3.93% Mbps
2023-07-21 22:09:29,654 - INFO - CPU usage: 32.5% | Memory usage: 77.0% | Disk usage: 17.9% | Network usage: 5.25% Mbps
2023-07-21 22:10:29,661 - INFO - CPU usage: 24.6% | Memory usage: 74.8% | Disk usage: 17.9% | Network usage: 4.16% Mbps
2023-07-21 22:11:29,668 - INFO - CPU usage: 24.1% | Memory usage: 76.2% | Disk usage: 17.9% | Network usage: 4.47% Mbps
2023-07-21 22:12:29,671 - INFO - CPU usage: 23.7% | Memory usage: 77.1% | Disk usage: 17.9% | Network usage: 6.25% Mbps
2023-07-21 22:13:29,675 - INFO - CPU usage: 30.7% | Memory usage: 76.4% | Disk usage: 17.9% | Network usage: 4.64% Mbps
2023-07-21 22:14:29,682 - INFO - CPU usage: 27.4% | Memory usage: 76.0% | Disk usage: 17.9% | Network usage: 1.43% Mbps
2023-07-21 22:15:29,689 - INFO - CPU usage: 8.9% | Memory usage: 75.0% | Disk usage: 17.9% | Network usage: 4.43% Mbps
2023-07-21 22:16:29,694 - INFO - CPU usage: 18.9% | Memory usage: 76.8% | Disk usage: 17.9% | Network usage: 2.94% Mbps
2023-07-21 22:17:29,697 - INFO - CPU usage: 19.5% | Memory usage: 77.6% | Disk usage: 17.9% | Network usage: 1.75% Mbps
2023-07-21 22:18:29,704 - INFO - CPU usage: 14.2% | Memory usage: 71.7% | Disk usage: 17.9% | Network usage: 0.85% Mbps
2023-07-21 22:19:29,708 - INFO - CPU usage: 11.2% | Memory usage: 73.7% | Disk usage: 17.9% | Network usage: 2.66% Mbps
2023-07-21 22:49:36,400 - INFO - CPU usage: 14.0% | Memory usage: 73.7% | Disk usage: 18.3% | Network usage: 0.38% Mbps
2023-07-21 22:51:44,406 - INFO - CPU usage: 15.2% | Memory usage: 74.0% | Disk usage: 18.3% | Network usage: 4.82% Mbps
2023-07-21 22:53:21,174 - INFO - CPU usage: 19.0% | Memory usage: 72.8% | Disk usage: 18.3% | Network usage: 1.89% Mbps
2023-07-21 22:54:21,180 - INFO - CPU usage: 6.8% | Memory usage: 72.8% | Disk usage: 18.3% | Network usage: 3.24% Mbps
2023-07-21 22:56:08,484 - INFO - CPU usage: 16.9% | Memory usage: 73.9% | Disk usage: 18.3% | Network usage: 1.45% Mbps
2023-07-21 22:57:08,491 - INFO - CPU usage: 19.7% | Memory usage: 73.4% | Disk usage: 18.3% | Network usage: 0.64% Mbps
2023-07-21 22:58:08,494 - INFO - CPU usage: 9.8% | Memory usage: 74.7% | Disk usage: 18.3% | Network usage: 0.42% Mbps
2023-07-21 22:59:08,500 - INFO - CPU usage: 10.3% | Memory usage: 74.2% | Disk usage: 18.3% | Network usage: 0.39% Mbps
2023-07-21 22:59:43,440 - INFO - CPU usage: 11.4% | Memory usage: 74.2% | Disk usage: 18.3% | Network usage: 10.07% Mbps
2023-07-21 23:08:49,389 - INFO - CPU usage: 23.8% | Memory usage: 77.6% | Disk usage: 18.4% | Network usage: 1.64% Mbps
2023-07-21 23:09:49,395 - INFO - CPU usage: 26.6% | Memory usage: 75.7% | Disk usage: 18.4% | Network usage: 2.41% Mbps
2023-07-21 23:10:49,402 - INFO - CPU usage: 36.0% | Memory usage: 75.8% | Disk usage: 18.4% | Network usage: 1.32% Mbps
2023-07-21 23:11:49,408 - INFO - CPU usage: 33.3% | Memory usage: 77.1% | Disk usage: 18.4% | Network usage: 0.27% Mbps
2023-07-21 23:12:49,414 - INFO - CPU usage: 20.0% | Memory usage: 75.0% | Disk usage: 18.4% | Network usage: 2.52% Mbps
2023-07-21 23:13:49,416 - INFO - CPU usage: 28.5% | Memory usage: 77.5% | Disk usage: 18.4% | Network usage: 5.91% Mbps
2023-07-21 23:14:49,620 - INFO - CPU usage: 33.3% | Memory usage: 76.5% | Disk usage: 18.4% | Network usage: 4.59% Mbps
2023-07-21 23:15:49,826 - INFO - CPU usage: 30.3% | Memory usage: 77.0% | Disk usage: 18.4% | Network usage: 0.60% Mbps
2023-07-21 23:16:49,873 - INFO - CPU usage: 21.9% | Memory usage: 78.0% | Disk usage: 18.4% | Network usage: 2.77% Mbps
2023-07-21 23:17:50,066 - INFO - CPU usage: 31.8% | Memory usage: 78.5% | Disk usage: 18.4% | Network usage: 2.13% Mbps
2023-07-21 23:18:50,127 - INFO - CPU usage: 21.0% | Memory usage: 78.8% | Disk usage: 18.4% | Network usage: 0.54% Mbps
2023-07-21 23:19:50,132 - INFO - CPU usage: 11.6% | Memory usage: 78.2% | Disk usage: 18.4% | Network usage: 0.48% Mbps
2023-07-21 23:20:50,136 - INFO - CPU usage: 10.6% | Memory usage: 78.3% | Disk usage: 18.4% | Network usage: 0.92% Mbps
2023-07-21 23:21:50,144 - INFO - CPU usage: 12.0% | Memory usage: 78.7% | Disk usage: 18.4% | Network usage: 1.63% Mbps
2023-07-21 23:22:50,148 - INFO - CPU usage: 14.9% | Memory usage: 79.3% | Disk usage: 18.4% | Network usage: 4.29% Mbps
